audio,transcription,transcription_mfa
karuk-2013-06-05-ct-4_09,vura purafaat neekyaatihara.,vura purafaat neekyaatihara
karuk-2013-06-05-ct-4_10a,,
karuk-2013-06-05-ct-4_10b,akaay uum mi'araar?,akaay uum miqaraar
karuk-2013-06-05-ct-4_11,vaa kaan nivaarameesh.,vaa kaan nivaarameesh
karuk-2013-06-05-ct-4_12,panamniik ta nivaaram.,panamniik ta nivaaram
karuk-2013-06-05-ct-4_13,suvanik!,suvanik
karuk-2013-06-05-ct-4_14,i'aapunmuti hum?,iqaapunmuti hum
karuk-2013-06-05-ct-4_15,,
karuk-2013-06-05-ct-4_16,koovura um ithitiimtih?,koovura um ithitiimtih
karuk-2013-06-05-ct-4_17,purafaat vura na'aapunmutihara.,purafaat vura naqaapunmutihara
karuk-2013-06-05-ct-4_18,vura uum puna'aapunmutihara.,vura uum punaqaapunmutihara
karuk-2013-06-05-ct-4_19,faat uum vaa?,faat uum vaa
karuk-2013-06-05-ct-4_20,faat ixutih?,faat ixutih
karuk-2013-06-05-ct-4_21,faat ichuuphitih?,faat ichuuphitih
karuk-2013-06-05-ct-4_22,huut ipitih?,huut ipitih
karuk-2013-06-05-ct-4_23,ipikrookti hum?,ipikrookti hum
karuk-2013-06-05-ct-4_24,ipikrookti hum faat peepitih?,ipikrookti hum faat peepitih
karuk-2013-06-05-ct-4_25,teepshinvarihva hum?,teepshinvarihva hum
karuk-2013-06-05-ct-4_26,pi'eep vaa kaan ta neepshinvarihva.,piqeep vaa kaan ta neepshinvarihva
karuk-2013-06-05-ct-4_27,haa.,haa
karuk-2013-06-05-ct-4_28,"atafaat ixuti "" kiri ni'am.""",atafaat ixuti kiri niqam
karuk-2013-06-05-ct-4_29,navishtaanti aayas.,navishtaanti aayas
karuk-2013-06-05-ct-4_30a," ishaha hum xaatik "" kiri ni'ish""?",ishaha hum xaatik kiri niqish
karuk-2013-06-05-ct-4_30b," ishaha xaat iim "" kiri ni'ish""?",ishaha xaat iim kiri niqish
karuk-2013-06-05-ct-4_31,ishaha hum tee xrah?,ishaha hum tee xrah
karuk-2013-06-05-ct-4_32,"xaat um kiri ishaha nateeki!""?",xaat um kiri ishaha nateeki
karuk-2013-06-05-ct-4_33,kukuum hum nuteekeesh?,kukuum hum nuteekeesh
karuk-2013-06-05-ct-4_34,chimi ook pay ikriishrihi!,chimi ook pay ikriishrihi
karuk-2013-06-05-ct-4_35,"ahup ik chimi apim, saanfuruki!",ahup ik chimi apim saanfuruki
karuk-2013-06-05-ct-4_36,ahup usaanfuruki!,ahup usaanfuruki
karuk-2013-06-05-ct-4_37,puuhara.,puuhara
karuk-2013-06-05-ct-4_38,xayfaat!,xayfaat
karuk-2013-06-05-ct-4_39,xakaan choora!,xakaan choora
karuk-2013-06-05-ct-4_40,naa karu nivaarameesh.,naa karu nivaarameesh
karuk-2013-06-05-ct-4_41,naa karu ni'ahoovish.,naa karu niqahoovish
karuk-2013-06-05-ct-4_42,ta ni'ahoo.,ta niqahoo
karuk-2013-06-05-ct-4_43,chimi ikfuuksipriv!,chimi ikfuuksipriv
karuk-2013-06-05-ct-4_44,tikariha hum?,tikariha hum
karuk-2013-06-05-ct-4_45,ta neekfuuyshur.,ta neekfuuyshur
karuk-2013-06-05-ct-4_46,tee kfuuyshur hum?,tee kfuuyshur hum
karuk-2013-06-05-ct-4_47,,
karuk-2013-06-05-ct-4_48,chimi nukviit-hi!,chimi nukviithi
karuk-2013-06-05-ct-4_49,faat yaxa?,faat yaxa
karuk-2013-06-05-ct-4_50,,
karuk-2013-06-05-ct-4_51,,
karuk-2013-06-05-ct-4_52,chimi kviit-hi!,chimi kviithi
karuk-2013-06-05-ct-4_53,yav pa'ikxaram.,yav paqikxaram
CT-02_01,ni'aapunma koovura.,niqaapunma koovura
CT-02_02,"faat kuma'ii pananitaat karu panani'aka ta kuniyaaram, faat kuma'ii?",faat kumaqii pananitaat karu pananiqaka ta kuniyaaram faat kumaqii
CT-02_03,"pay koo paxanthiip, pay yitha koo paxanthiip kaan u'iihya.",pay koo paxanthiip pay yitha koo paxanthiip kaan uqiihya
CT-02_04,faat kuma'ii peexraratih? naa nik ook pay nikrii.,faat kumaqii peexraratih naa nik ook pay nikrii
CT-02_05,tupishyaavpa ta koo ta kun'ipak.,tupishyaavpa ta koo ta kunqipak
CT-02_06,nanikiit neekshupiheet.,nanikiit neekshupiheet
CT-02_07,koovura ni'aapunma faat nikyaatih.,koovura niqaapunma faat nikyaatih
CT-02_08,tupishyaavpa vura uum taay panani'ahup.,tupishyaavpa vura uum taay pananiqahup
CT-02_09,koovura yav.,koovura yav
karuk-2011-01-30-vs-1_01,,
karuk-2011-01-30-vs-1_02,iim chimi chuuphi!,iim chimi chuuphi
karuk-2011-01-30-vs-1_03,taay i'itaptih iim.,taay iqitaptih iim
karuk-2011-01-30-vs-1_04,ta ni'aah.,ta niqaah
karuk-2011-01-30-vs-1_05,mah'iit mah'iitnihach.,mahqiit mahqiitnihach
karuk-2011-01-30-vs-1_06,ta ni'itxaarihvutih mah'iitnihach.,ta niqitxaarihvutih mahqiitnihach
karuk-2011-01-30-vs-1_07,mah'iit.,mahqiit
karuk-2011-01-30-vs-1_08,mah'iitnihach ni'itxaarihva.,mahqiitnihach niqitxaarihva
karuk-2011-01-30-vs-1_09,ta ni'itxaarihvutih.,ta niqitxaarihvutih
karuk-2011-01-30-vs-1_10,kari xas ta nivoonsip.,kari xas ta nivoonsip
karuk-2011-01-30-vs-1_11,ahup ta nikyaatih.,ahup ta nikyaatih
karuk-2011-01-30-vs-1_12,ahup ikyaatih hum?,ahup ikyaatih hum
karuk-2011-01-30-vs-1_13,aah ta nikyaatih.,aah ta nikyaatih
karuk-2011-01-30-vs-1_14,Lyn uum athiik.,Lyn uum athiik
karuk-2011-01-30-vs-1_15,vaa ta nikyaatih pa'aah.,vaa ta nikyaatih paqaah
karuk-2011-01-30-vs-1_16,naa vura itihaan mah'iitnihich nikfuuksipriv.,naa vura itihaan mahqiitnihich nikfuuksipriv
karuk-2011-01-30-vs-1_17,,
karuk-2011-01-30-vs-1_18,vaa yav nipmahoonkoonati vura pamah'iit.,vaa yav nipmahoonkoonati vura pamahqiit
karuk-2011-01-30-vs-1_19,naa karu.,naa karu
karuk-2011-01-30-vs-1_20,kaarim nipmahoonkoonati pata nikviit-hitih itihaan.,kaarim nipmahoonkoonati pata nikviithitih itihaan
karuk-2011-01-30-vs-1_21,uurihaan kunish uurihaan.,uurihaan kunish uurihaan
karuk-2011-01-30-vs-1_22,taay vura hootah panukviitihat ipit ikxaram.,taay vura hootah panukviitihat ipit ikxaram
karuk-2011-01-30-vs-1_23,huut kuma'ii.,huut kumaqii
karuk-2011-01-30-vs-1_24,ta nuparty party nu'uumat nu'uumat.,ta nuparty party nuquumat nuquumat
karuk-2011-01-30-vs-1_25,kari xas vura taay panu'iishtih karu aamtih.,kari xas vura taay panuqiishtih karu aamtih
karuk-2011-01-30-vs-1_26,haa vurava ishimfirakuupha vaa.,haa vurava ishimfirakuupha vaa
karuk-2011-01-30-vs-1_27,taay ti'av.,taay tiqav
karuk-2011-01-30-vs-1_28,ikiich vura ipishriivpeesh pataay i'aamtih.,ikiich vura ipishriivpeesh pataay iqaamtih
karuk-2011-01-30-vs-1_29,xas vura av kunish vaa puyavhara peepihniichha.,xas vura av kunish vaa puyavhara peepihniichha
karuk-2011-01-30-vs-1_30,"naniaunt Ramona ithaan neemuustih naniaunt Ramona kari xas upitih "" ha'ii tipishriivpa.""",naniaunt Ramona ithaan neemuustih naniaunt Ramona kari xas upitih haqii tipishriivpa
karuk-2011-01-30-vs-1_31,,
karuk-2011-01-30-vs-1_32,faat.,faat
karuk-2011-01-30-vs-1_33,,
ta1-1,ta na'aathva.,ta naqaathva
ta1-2,ta ni'ay.,ta niqay
ta1-3,chi nu'uufithvar.,chi nuquufithvar
ta1-4,hooy tivaaram?,hooy tivaaram
ta1-5,peepithvaram ta nivaaram.,peepithvaram ta nivaaram
ta1-6,iikam ta nivaaram.,iikam ta nivaaram
karuk-2010-10-24-la-1_01,xuntapan maath.,xuntapan maath
karuk-2010-10-24-la-1_02,maruk ivaaram!,maruk ivaaram
karuk-2010-10-24-la-1_03,saruk ivaaram!,saruk ivaaram
karuk-2010-10-24-la-1_04,yuraschishiih uum maruk tuvaaram.,yuraschishiih uum maruk tuvaaram
karuk-2010-10-24-la-1_05,taay paxuntapan.,taay paxuntapan
karuk-2010-10-24-la-1_06,taay payuraschishiih.,taay payuraschishiih
karuk-2010-10-24-la-1_07,pufaat paxuntapan.,pufaat paxuntapan
karuk-2010-10-24-la-1_08,ta nikyivish.,ta nikyivish
karuk-2010-10-24-la-1_09,upivrihishtih.,upivrihishtih
karuk-2010-10-24-la-1_10,xuntapan upivrihishtih.,xuntapan upivrihishtih
karuk-2010-10-24-la-1_12,xuntapan nikitnaaktih.,xuntapan nikitnaaktih
karuk-2010-10-24-la-1_13,paxuntapan chi nikitnakeesh.,paxuntapan chi nikitnakeesh
karuk-2010-10-24-la-1_14,akaay paxuntapan ukitnaaktih?,akaay paxuntapan ukitnaaktih
karuk-2010-10-24-la-1_15,taay paxuntapan ta nikitnak.,taay paxuntapan ta nikitnak
karuk-2010-10-24-la-1_17,chi nikraveesh.,chi nikraveesh
karuk-2010-10-24-la-1_18,too spas.,too spas
karuk-2010-10-24-la-1_19,chi nitakireesh.,chi nitakireesh
karuk-2010-10-24-la-1_20,akaay ikpur utakirtih?,akaay ikpur utakirtih
karuk-2010-10-24-la-1_21,nitharampuuktih.,nitharampuuktih
karuk-2010-10-24-la-1_22,misupaah yav!,misupaah yav
karuk-2010-10-24-la-1_23,upathriihtih.,upathriihtih
karuk-2010-10-24-la-1_24,too snur.,too snur
karuk-2010-10-24-la-1_25,too snur um?,too snur um
karuk-2010-10-24-la-1_26,ishnur um?,ishnur um
karuk-2010-10-24-la-1_27,ipit mit usnurat.,ipit mit usnurat
karuk-2010-10-24-la-1_28,ipit usnurat.,ipit usnurat
karuk-2010-10-24-la-1_29,ipit upathrihat.,ipit upathrihat
karuk-2010-10-24-la-1_30,ipit ukyutunihat.,ipit ukyutunihat
karuk-2010-10-24-la-1_31,athiik iikam.,athiik iikam
karuk-2010-10-24-la-1_33,mah'iit iikam nivoonupuk.,mahqiit iikam nivoonupuk
karuk-2010-10-24-la-1_34,iikam ivoonupuk.,iikam ivoonupuk
LA-03_01,mivu pithxahi.,mivu pithxahi
LA-03_02,mivaas pishnakarishuk.,mivaas pishnakarishuk
LA-03_03,mivaas pasasip.,mivaas pasasip
LA-03_04,mi'ifunih ipxatihi.,miqifunih ipxatihi
LA-03_05-original,,
LA-03_05a,"av mi'avaha, pa'avaha.",av miqavaha paqavaha
LA-03_05b,av pami'avaha.,av pamiqavaha
LA-03_06,pasasip.,pasasip
LA-03_07,karihi.,karihi
LA-03_08,yuuphi.,yuuphi
LA-03_09-original,,
LA-03_09,ipyukukuhi.,ipyukukuhi
LA-03_10,aav paatvi.,aav paatvi
LA-03_11,mitiik pakxuuyvi.,mitiik pakxuuyvi
LA-04_01,kahtishraam nivaaramat.,kahtishraam nivaaramat
LA-04_02,,
LA-04_03,payeem panamniik ta nivaaram.,payeem panamniik ta nivaaram
LA-04_04,imaan panamniik nivaarameesh.,imaan panamniik nivaarameesh
LA-04_05,akaay uum panamnik uvaarameesh?,akaay uum panamnik uvaarameesh
LA-04_06,saruk ta nivaaram.,saruk ta nivaaram
LA-04_07,karuk ta nivaaram.,karuk ta nivaaram
LA-04_08,,
LA-04_09,ithyaruk ta nivaaram.,ithyaruk ta nivaaram
LA-04_10,ithyaruk ta nikpuuhkar.,ithyaruk ta nikpuuhkar
LA-04_10b,chi nu'uufithvan.,chi nuquufithvan
LA-04_11,,
LA-04_12,koovura nu'uufithvar.,koovura nuquufithvar
LA-04_13,ta kun'uufithvar.,ta kunquufithvar
LA-04_14,pa'aama ta nimah.,paqaama ta nimah
LA-04_15,yaxa pa'aama.,yaxa paqaama
LA-04_16,neemuustih.,neemuustih
LA-04_17,yaxa pathufkirik.,yaxa pathufkirik
LA-04_18,thufkirik ukxiipship.,thufkirik ukxiipship
LA-04_19,ukxiiptih.,ukxiiptih
LA-04_20,ta nikxiipship.,ta nikxiipship
LA-04_21,chanaakat iin napar.,chanaakat iin napar
LA-04_22,chanaakat iin tee parap.,chanaakat iin tee parap
LA-04_23,akaay pa'aama u'aamtih?,akaay paqaama uqaamtih
LA-04_24,virusur pa'aama u'aamtih.,virusur paqaama uqaamtih
LA-04_25,yiivanihich chuvniivkach.,yiivanihich chuvniivkach
LA-04_26,yiivanihich virusur.,yiivanihich virusur
LA-04_27,hooy pa'akvaat?,hooy paqakvaat
LA-04_28,akvaat uum ipahak.,akvaat uum ipahak
LA-04_29,akvaat too kyivunih.,akvaat too kyivunih
LA-04_30,akvaat fataak ukyivunih.,akvaat fataak ukyivunih
LA-04_31,pavirusur uum ishriiv.,pavirusur uum ishriiv
LA-04_32,tee kfuuyshur hum?,tee kfuuyshur hum
LA-04_33,tee kvurish hum?,tee kvurish hum
ag1-01,apmaanak aknap.,apmaanak aknap
ag1-02,ta nimah.,ta nimah
ag1-03,nimuustih.,nimuustih
ag1-04,nimuustih.,nimuustih
ag1-05,ipit ip nimahat.,ipit ip nimahat
ag1-06,ipit nimahat.,ipit nimahat
ag1-07,ta nipath.,ta nipath
ag1-08,ta nipath.,ta nipath
ag1-09,ook paathraa.,ook paathraa
ag1-10,paykuuk path.,paykuuk path
ag1-11,ipit ipaathraa.,ipit ipaathraa
ag1-12,ipit ipathraa.,ipit ipathraa
ag1-13,nichuuphitih.,nichuuphitih
ag1-14,nichuuphitih.,nichuuphitih
ag1-15,uchuuphitih.,uchuuphitih
ag1-16,tuskak.,tuskak
ag1-17,nishxaareesh.,nishxaareesh
ag1-18,ipit nishxaar.,ipit nishxaar
karuk-2010-07-24-ag-sd-1_01,koovura paxvaah pay'ook uum umniishtiheesh.,koovura paxvaah payqook uum umniishtiheesh
karuk-2010-07-24-ag-sd-1_02,"akee, pananixvaah.",akee pananixvaah
karuk-2010-07-24-ag-sd-1_03,ta niyikiheesh.,ta niyikiheesh
karuk-2010-07-24-ag-sd-1_04,ta niyikiha.,ta niyikiha
karuk-2010-07-24-ag-sd-1_05,ipit kunish niyikiheen.,ipit kunish niyikiheen
karuk-2010-07-24-ag-sd-1_06,ipit kunish niyikihatih.,ipit kunish niyikihatih
karuk-2010-07-24-ag-sd-1_07,pay'ook xakaan nuchuuphitih.,payqook xakaan nuchuuphitih
karuk-2010-07-24-ag-sd-1_08,niykareesh papuufich.,niykareesh papuufich
karuk-2010-07-24-ag-sd-1_09,ta nikfirip papuufich.,ta nikfirip papuufich
karuk-2010-07-24-ag-sd-1_10,pananikafih kunish imfir.,pananikafih kunish imfir
karuk-2010-07-24-ag-sd-1_11,pamikafih chimi ni'imfireesh.,pamikafih chimi niqimfireesh
karuk-2010-07-24-ag-sd-1_12,pananikafih imfir.,pananikafih imfir
karuk-2010-07-24-ag-sd-1_13,ta neemchak.,ta neemchak
karuk-2010-07-24-ag-sd-1_14,too xrupeesh.,too xrupeesh
karuk-2010-07-24-ag-sd-1_15,pa'araaras kunish koovura pa'ishimfir kuma'araaras.,paqaraaras kunish koovura paqishimfir kumaqaraaras
karuk-2010-07-24-ag-sd-2b_01,pay'ook ararahi nichuuphitih.,payqook ararahi nichuuphitih
karuk-2010-07-24-ag-sd-2b_02,koovura pa'araaras pay'ook nuchuupheesh karu.,koovura paqaraaras payqook nuchuupheesh karu
karuk-2016-02-20-sd-2_01,pay uum pa'araar umniishti pachikin'uruh.,pay uum paqaraar umniishti pachikinquruh
karuk-2016-02-20-sd-2_02,pay'ook pa'asiktavaan ukyaati paxuun.,payqook paqasiktavaan ukyaati paxuun
karuk-2016-02-20-sd-2_03,pay'ook uum pa'araar ukfuyfuuytih.,payqook uum paqaraar ukfuyfuuytih
karuk-2016-02-20-sd-2_04,faat kuma'av poo'aamtih?,faat kumaqav pooqaamtih
karuk-2016-02-20-sd-2_05,putiruh u'aamtih.,putiruh uqaamtih
karuk-2010-10-25-sd-vs-1_1,ta nithitiv.,ta nithitiv
karuk-2010-10-25-sd-vs-1_10,ta numah.,ta numah
karuk-2010-10-25-sd-vs-1_11,nimaheesh.,nimaheesh
karuk-2010-10-25-sd-vs-1_12,papusihich iin ta namah.,papusihich iin ta namah
karuk-2010-10-25-sd-vs-1_13,papusihich umahtih iim.,papusihich umahtih iim
karuk-2010-10-25-sd-vs-1_14,papusihich iim tumah.,papusihich iim tumah
karuk-2010-10-25-sd-vs-1_15,taay um papusihich um ithiinatih um?,taay um papusihich um ithiinatih um
karuk-2010-10-25-sd-vs-1_16,taay paninipusihich.,taay paninipusihich
karuk-2010-10-25-sd-vs-1_17,Sally uum taay papusihich uthiinatih.,Sally uum taay papusihich uthiinatih
karuk-2010-10-25-sd-vs-1_18,Sally uum taay pamupusihich.,Sally uum taay pamupusihich
karuk-2010-10-25-sd-vs-1_19,naa pusihich nithiinatih.,naa pusihich nithiinatih
karuk-2010-10-25-sd-vs-1_2,ta nithitiv.,ta nithitiv
karuk-2010-10-25-sd-vs-1_20,naa axak papusihich nithiinatih.,naa axak papusihich nithiinatih
karuk-2010-10-25-sd-vs-1_21,naa axak pusihich nithiinatih.,naa axak pusihich nithiinatih
karuk-2010-10-25-sd-vs-1_22,naa axak papusihich nithiinatih.,naa axak papusihich nithiinatih
karuk-2010-10-25-sd-vs-1_23,ta nimshakar papusihich.,ta nimshakar papusihich
karuk-2010-10-25-sd-vs-1_24,nithitiimtih papusihich uum.,nithitiimtih papusihich uum
karuk-2010-10-25-sd-vs-1_25,papusihich nithitiimti upakuriihvutih.,papusihich nithitiimti upakuriihvutih
karuk-2010-10-25-sd-vs-1_26,papusihich upakuriihvutih.,papusihich upakuriihvutih
karuk-2010-10-25-sd-vs-1_27,ta nithitiv papusihich upakuriihvutih.,ta nithitiv papusihich upakuriihvutih
karuk-2010-10-25-sd-vs-1_28,ta nithitiv papusihich upakuriihvutih.,ta nithitiv papusihich upakuriihvutih
karuk-2010-10-25-sd-vs-1_29,nimuustih uum papusihich u'aamtih.,nimuustih uum papusihich uqaamtih
karuk-2010-10-25-sd-vs-1_3,ta nuthitiv.,ta nuthitiv
karuk-2010-10-25-sd-vs-1_30,papusihich u'aamtih.,papusihich uqaamtih
karuk-2010-10-25-sd-vs-1_31,papusihich u'aamtih.,papusihich uqaamtih
karuk-2010-10-25-sd-vs-1_32,papusihich ip tu'avat.,papusihich ip tuqavat
karuk-2010-10-25-sd-vs-1_33,pusihich ipit tu'avat.,pusihich ipit tuqavat
karuk-2010-10-25-sd-vs-1_34,papusihich ta ni'afish.,papusihich ta niqafish
karuk-2010-10-25-sd-vs-1_35,papusihich ta na'afish.,papusihich ta naqafish
karuk-2010-10-25-sd-vs-1_36,papusihich ta kunvathiv.,papusihich ta kunvathiv
karuk-2010-10-25-sd-vs-1_37,ta nithitiv payupsitanach uxraratih.,ta nithitiv payupsitanach uxraratih
karuk-2010-10-25-sd-vs-1_38,yaxa papusihich!,yaxa papusihich
karuk-2010-10-25-sd-vs-1_39,faat ukupaveenah.,faat ukupaveenah
karuk-2010-10-25-sd-vs-1_4,ta nithitiv papusihich.,ta nithitiv papusihich
karuk-2010-10-25-sd-vs-1_40,ta nithitiv papusihich iikam.,ta nithitiv papusihich iikam
karuk-2010-10-25-sd-vs-1_41,ta nithitiv papusihich iikam uvathiivtih.,ta nithitiv papusihich iikam uvathiivtih
karuk-2010-10-25-sd-vs-1_42,taay pusihich ta nimah.,taay pusihich ta nimah
karuk-2010-10-25-sd-vs-1_43,pufaat papusihich.,pufaat papusihich
karuk-2010-10-25-sd-vs-1_44,pufaat papusihich.,pufaat papusihich
karuk-2010-10-25-sd-vs-1_45,ararachuupha nuu payeem nuchuuphitih.,ararachuupha nuu payeem nuchuuphitih
karuk-2010-10-25-sd-vs-1_46,yanava koovura kunivyihuk!,yanava koovura kunivyihuk
karuk-2010-10-25-sd-vs-1_47,yanava pakuusrah tookfuk supaah!,yanava pakuusrah tookfuk supaah
karuk-2010-10-25-sd-vs-1_48,ta kunish nithitiv pachishii poohyiivtih.,ta kunish nithitiv pachishii poohyiivtih
karuk-2010-10-25-sd-vs-1_49,yanava pachishiih poohyiivtih!,yanava pachishiih poohyiivtih
karuk-2010-10-25-sd-vs-1_5,ta nimah papusihich.,ta nimah papusihich
karuk-2010-10-25-sd-vs-1_50,uhyiivtih.,uhyiivtih
karuk-2010-10-25-sd-vs-1_51,yupthukirar uxraratih.,yupthukirar uxraratih
karuk-2010-10-25-sd-vs-1_52,virusur uum taay pooxruunhatih.,virusur uum taay pooxruunhatih
karuk-2010-10-25-sd-vs-1_53,suvanik ta nimah.,suvanik ta nimah
karuk-2010-10-25-sd-vs-1_54,suvanik numaheesh.,suvanik numaheesh
karuk-2010-10-25-sd-vs-1_55,"nu ni'aasish, nikviit-ha, xas vura faatva nithitiv.",nu niqaasish nikviitha xas vura faatva nithitiv
karuk-2010-10-25-sd-vs-1_56,taahkunish pamu'ifunih.,taahkunish pamuqifunih
karuk-2010-10-25-sd-vs-1_57,Vina mu'ifuni uum taahkunish.,Vina muqifuni uum taahkunish
karuk-2010-10-25-sd-vs-1_58,hooy uum pa'ikxaramkunish pusihich?,hooy uum paqikxaramkunish pusihich
karuk-2010-10-25-sd-vs-1_6,ta nimah papusihich.,ta nimah papusihich
karuk-2010-10-25-sd-vs-1_7,iim ta numah.,iim ta numah
karuk-2010-10-25-sd-vs-1_8,iim ta numah.,iim ta numah
karuk-2010-10-25-sd-vs-1_9,ta nimah.,ta nimah
karuk-2010-10-25-sd-vs-2_01,Medford chimi nivaarameesh.,Medford chimi nivaarameesh
karuk-2010-10-25-sd-vs-2_02,nikvaareesh uum pathyur.,nikvaareesh uum pathyur
karuk-2010-10-25-sd-vs-2_03,nikvaareesh pathyur.,nikvaareesh pathyur
karuk-2010-10-25-sd-vs-2_04,peethyur nikvaareesh.,peethyur nikvaareesh
karuk-2010-10-25-sd-vs-2_05,ithyur nikvaareesh.,ithyur nikvaareesh
karuk-2010-10-25-sd-vs-2_06,nivaarameesh Medford pathyuru chimi nikvaareesh.,nivaarameesh Medford pathyuru chimi nikvaareesh
karuk-2010-10-25-sd-vs-2_07,nimuustiheesh pathyuru karu.,nimuustiheesh pathyuru karu
karuk-2010-10-25-sd-vs-2_08,"Medford nivaarameesh, ithyuru nikvaareesh.",Medford nivaarameesh ithyuru nikvaareesh
karuk-2010-10-25-sd-vs-2_09,nithyurutih pananithyur.,nithyurutih pananithyur
karuk-2010-10-25-sd-vs-2_10,nithyuritih peethyur.,nithyuritih peethyur
karuk-2010-10-25-sd-vs-2_11,"Medford nivaarameesh, vaa kaan pananikustaan ukrii.",Medford nivaarameesh vaa kaan pananikustaan ukrii
karuk-2010-10-25-sd-vs-2_12,pachishiih too pvoonfuruk.,pachishiih too pvoonfuruk
karuk-2010-10-25-sd-vs-2_13,too xuriha.,too xuriha
karuk-2010-10-25-sd-vs-2_14,too xuriha.,too xuriha
karuk-2010-10-25-sd-vs-2_15,uum too xuriha,uum too xuriha
karuk-2010-10-25-sd-vs-2_16,puufich iikam.,puufich iikam
karuk-2010-10-25-sd-vs-2_17,yaxa papuufich iikam.,yaxa papuufich iikam
karuk-2010-10-25-sd-vs-2_18,papuufich iinaak tuvoonfuruk.,papuufich iinaak tuvoonfuruk
karuk-2010-10-25-sd-vs-2_19,papuufich iinaak tuvoonfuruk.,papuufich iinaak tuvoonfuruk
karuk-2010-10-25-sd-vs-2_20,choora kumaam!,choora kumaam
karuk-2010-10-25-sd-vs-2_21,kumaam nuvyiiship.,kumaam nuvyiiship
karuk-2010-10-25-sd-vs-2_22,ipit kumaam nuvyiishipriv.,ipit kumaam nuvyiishipriv
karuk-2010-10-25-sd-vs-2_23,kumaam ta ni'arihishrih.,kumaam ta niqarihishrih
karuk-2010-10-25-sd-vs-2_24,kusaam panunu'uhthaam.,kusaam panunuquhthaam
