audio,transcription,Unnamed: 2,extra,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
karuk-2013-06-05-ct-4_11,vaa kaan nivaarameesh.,,,,,,
karuk-2013-06-05-ct-4_12,panamniik ta nivaaram.,,,,,,
karuk-2013-06-05-ct-4_13,suvanik!,,,,,,
karuk-2013-06-05-ct-4_14,i'aapunmuti hum?,,,,,,
karuk-2013-06-05-ct-4_15,,,,,,,
karuk-2013-06-05-ct-4_16,koovura um ithitiimtih?,,,,,,
karuk-2013-06-05-ct-4_17,purafaat vura na'aapunmutihara.,,,,,,
karuk-2013-06-05-ct-4_18,vura uum puna'aapunmutihara.,,,,,,
karuk-2013-06-05-ct-4_19,faat uum vaa?,,,,,,
karuk-2013-06-05-ct-4_20,faat ixutih?,,,,,,
karuk-2013-06-05-ct-4_21,faat ichuuphitih?,,,,,,
karuk-2013-06-05-ct-4_22,huut ipitih?,,,,,,
karuk-2013-06-05-ct-4_23,ipikrookti hum?,,,,,,
karuk-2013-06-05-ct-4_24,ipikrookti hum faat peepitih?,,,,,,
karuk-2013-06-05-ct-4_25,teepshinvarihva hum?,,,,,,
karuk-2013-06-05-ct-4_26,pi'eep vaa kaan ta neepshinvarihva.,,,,,,
karuk-2013-06-05-ct-4_27,haa.,,,,,,
karuk-2013-06-05-ct-4_28,"atafaat ixuti "" kiri ni'am.""",,,,,,
karuk-2013-06-05-ct-4_29,navishtaanti aayas.,,,,,,
karuk-2013-06-05-ct-4_30a," ishaha hum xaatik "" kiri ni'ish""?",,,,,,
karuk-2013-06-05-ct-4_30b," ishaha xaat iim "" kiri ni'ish""?",,,,,,
karuk-2013-06-05-ct-4_31,ishaha hum tee xrah?,,,,,,
karuk-2013-06-05-ct-4_32,"xaat um kiri ishaha nateeki!""?",,,,,,
karuk-2013-06-05-ct-4_33,kukuum hum nuteekeesh?,,,,,,
karuk-2013-06-05-ct-4_34,chimi ook pay ikriishrihi!,,,,,,
karuk-2013-06-05-ct-4_35,ahup ik chimi apim, saanfuruki!,,,,,
karuk-2013-06-05-ct-4_36,ahup usaanfuruki!,,,,,,
karuk-2013-06-05-ct-4_37,puuhara.,,,,,,
karuk-2013-06-05-ct-4_38,xayfaat!,,,,,,
karuk-2013-06-05-ct-4_39,xakaan choora!,,,,,,
karuk-2013-06-05-ct-4_40,naa karu nivaarameesh.,,,,,,
karuk-2013-06-05-ct-4_41,naa karu ni'ahoovish.,,,,,,
karuk-2013-06-05-ct-4_42,ta ni'ahoo.,,,,,,
karuk-2013-06-05-ct-4_43,chimi ikfuuksipriv!,,,,,,
karuk-2013-06-05-ct-4_44,tikariha hum?,,,,,,
karuk-2013-06-05-ct-4_45,ta neekfuuyshur.,,,,,,
karuk-2013-06-05-ct-4_46,tee kfuuyshur hum?,,,,,,
karuk-2013-06-05-ct-4_47,,,,,,,
karuk-2013-06-05-ct-4_48,chimi nukviit-hi!,,,,,,
karuk-2013-06-05-ct-4_49,faat yaxa?,,,,,,
karuk-2013-06-05-ct-4_50,,,,,,,
karuk-2013-06-05-ct-4_51,,,,,,,
karuk-2013-06-05-ct-4_52,chimi kviit-hi!,,,,,,
karuk-2013-06-05-ct-4_53,yav pa'ikxaram.,,,,,,
CT-02_01,ni'aapunma koovura.,,,,,,
CT-02_02,"faat kuma'ii pananitaat karu panani'aka ta kuniyaaram, faat kuma'ii?",,,,,,
CT-02_03,"pay koo paxanthiip, pay yitha koo paxanthiip kaan u'iihya.",,,,,,
CT-02_04,faat kuma'ii peexraratih? naa nik ook pay nikrii.,,,,,,
CT-02_05,tupishyaavpa ta koo ta kun'ipak.,,,,,,
CT-02_06,nanikiit neekshupiheet.,,,,,,
CT-02_07,koovura ni'aapunma faat nikyaatih.,,,,,,
CT-02_08,tupishyaavpa vura uum taay panani'ahup.,,,,,,
CT-02_09,koovura yav.,,,,,,
karuk-2011-01-30-vs-1_01,Wedon'tknowwhatwearegonnasay.,,,,,,
karuk-2011-01-30-vs-1_02,iim chimi chuuphi!,,,,,,
karuk-2011-01-30-vs-1_03,taay i'itaptih iim.,,,,,,
karuk-2011-01-30-vs-1_04,ta ni'aah.,,,,,,
karuk-2011-01-30-vs-1_05,mah'iit mah'iitnihach.,,,,,,
karuk-2011-01-30-vs-1_06,ta ni'itxaarihvutih mah'iitnihach.,,,,,,
karuk-2011-01-30-vs-1_07,mah'iit.,,,,,,
karuk-2011-01-30-vs-1_08,mah'iitnihach ni'itxaarihva.,,,,,,
karuk-2011-01-30-vs-1_09,ta ni'itxaarihvutih.,,,,,,
karuk-2011-01-30-vs-1_10,kari xas ta nivoonsip.,,,,,,
karuk-2011-01-30-vs-1_11,ahup ta nikyaatih.,,,,,,
karuk-2011-01-30-vs-1_12,ahup ikyaatih hum?,,,,,,
karuk-2011-01-30-vs-1_13,aah ta nikyaatih.,,,,,,
karuk-2011-01-30-vs-1_14,Lyn uum athiik.,,,,,,
karuk-2011-01-30-vs-1_15,vaa ta nikyaatih pa'aah.,,,,,,
karuk-2011-01-30-vs-1_16,naa vura itihaan mah'iitnihich nikfuuksipriv.,,,,,,
karuk-2011-01-30-vs-1_17,sixthirtyfivethirty.,,,,,,
karuk-2011-01-30-vs-1_18,vaa yav nipmahoonkoonati vura pamah'iit.,,,,,,
karuk-2011-01-30-vs-1_19,naa karu.,,,,,,
karuk-2011-01-30-vs-1_20,kaarim nipmahoonkoonati pata nikviit-hitih itihaan.,,,,,,
karuk-2011-01-30-vs-1_21,uurihaan kunish uurihaan.,,,,,,
karuk-2011-01-30-vs-1_22,taay vura hootah panukviitihat ipit ikxaram.,,,,,,
karuk-2011-01-30-vs-1_23,huut kuma'ii.,,,,,,
karuk-2011-01-30-vs-1_24,ta nuparty party nu'uumat nu'uumat.,,,,,,
karuk-2011-01-30-vs-1_25,kari xas vura taay panu'iishtih karu aamtih.,,,,,,
karuk-2011-01-30-vs-1_26,haa vurava ishimfirakuupha vaa.,,,,,,
karuk-2011-01-30-vs-1_27,taay ti'av.,,,,,,
karuk-2011-01-30-vs-1_28,ikiich vura ipishriivpeesh pataay i'aamtih.,,,,,,
karuk-2011-01-30-vs-1_29,xas vura av kunish vaa puyavhara peepihniichha.,,,,,,
karuk-2011-01-30-vs-1_30,"naniaunt Ramona ithaan neemuustih naniaunt Ramona kari xas upitih "" ha'ii tipishriivpa.""",,,,,,
karuk-2011-01-30-vs-1_31,ok.,,,,,,
karuk-2011-01-30-vs-1_32,faat.,,,,,,
karuk-2011-01-30-vs-1_33,Ithinkwe'redone.,,,,,,
ta1-1,ta na'aathva.,,,,,,
ta1-2,ta ni'ay.,,,,,,
ta1-3,chi nu'uufithvar.,,,,,,
ta1-4,hooy tivaaram?,,,,,,
ta1-5,peepithvaram ta nivaaram.,,,,,,
ta1-6,iikam ta nivaaram.,,,,,,
karuk-2010-10-24-la-1_01,xuntapan maath.,,,,,,
karuk-2010-10-24-la-1_02,maruk ivaaram!,,,,,,
karuk-2010-10-24-la-1_03,saruk ivaaram!,,,,,,
karuk-2010-10-24-la-1_04,yuraschishiih uum maruk tuvaaram.,,,,,,
karuk-2010-10-24-la-1_05,taay paxuntapan.,,,,,,
karuk-2010-10-24-la-1_06,taay payuraschishiih.,,,,,,
karuk-2010-10-24-la-1_07,pufaat paxuntapan.,,,,,,
karuk-2010-10-24-la-1_08,ta nikyivish.,,,,,,
karuk-2010-10-24-la-1_09,upivrihishtih.,,,,,,
karuk-2010-10-24-la-1_10,xuntapan upivrihishtih.,,,,,,
karuk-2010-10-24-la-1_12,xuntapan nikitnaaktih.,,,,,,
karuk-2010-10-24-la-1_13,paxuntapan chi nikitnakeesh.,,,,,,
karuk-2010-10-24-la-1_14,akaay paxuntapan ukitnaaktih?,,,,,,
karuk-2010-10-24-la-1_15,taay paxuntapan ta nikitnak.,,,,,,
karuk-2010-10-24-la-1_17,chi nikraveesh.,,,,,,
karuk-2010-10-24-la-1_18,too spas.,,,,,,
karuk-2010-10-24-la-1_19,chi nitakireesh.,,,,,,
karuk-2010-10-24-la-1_20,akaay ikpur utakirtih?,,,,,,
karuk-2010-10-24-la-1_21,nitharampuuktih.,,,,,,
karuk-2010-10-24-la-1_22,misupaah yav!,,,,,,
karuk-2010-10-24-la-1_23,upathriihtih.,,,,,,
karuk-2010-10-24-la-1_24,too snur.,,,,,,
karuk-2010-10-24-la-1_25,too snur um?,,,,,,
karuk-2010-10-24-la-1_26,ishnur um?,,,,,,
karuk-2010-10-24-la-1_27,ipit mit usnurat.,,,,,,
karuk-2010-10-24-la-1_28,ipit usnurat.,,,,,,
karuk-2010-10-24-la-1_29,ipit upathrihat.,,,,,,
karuk-2010-10-24-la-1_30,ipit ukyutunihat.,,,,,,
karuk-2010-10-24-la-1_31,athiik iikam.,,,,,,
karuk-2010-10-24-la-1_33,mah'iit iikam nivoonupuk.,,,,,,
karuk-2010-10-24-la-1_34,iikam ivoonupuk.,,,,,,
LA-03_01,mivu pithxahi.,,,,,,
LA-03_02,mivaas pishnakarishuk.,,,,,,
LA-03_03,mivaas pasasip.,,,,,,
LA-03_04,mi'ifunih ipxatihi.,,,,,,
LA-03_05-original,,,,,,,
LA-03_05a,av mi'avaha, pa'avaha.,,,,,
LA-03_05b,av pami'avaha.,,,,,,
LA-03_06,pasasip.,,,,,,
LA-03_07,karihi.,,,,,,
LA-03_08,yuuphi.,,,,,,
LA-03_09-original,,,,,,,
LA-03_09,ipyukukuhi.,,,,,,
LA-03_10,aav paatvi.,,,,,,
LA-03_11,mitiik pakxuuyvi.,,,,,,
LA-04_01,kahtishraam nivaaramat.,,,,,,
LA-04_02,,,,,,,
LA-04_03,payeem panamniik ta nivaaram.,,,,,,
LA-04_04,imaan panamniik nivaarameesh.,,,,,,
LA-04_05,akaay uum panamnik uvaarameesh?,,,,,,
LA-04_06,saruk ta nivaaram.,,,,,,
LA-04_07,karuk ta nivaaram.,,,,,,
LA-04_08,,,,,,,
LA-04_09,ithyaruk ta nivaaram.,,,,,,
LA-04_10,ithyaruk ta nikpuuhkar.,,,,,,
LA-04_10b,chi nu'uufithvan.,,,,,,
LA-04_11,,,,,,,
LA-04_12,koovura nu'uufithvar.,,,,,,
LA-04_13,ta kun'uufithvar.,,,,,,
LA-04_14,pa'aama ta nimah.,,,,,,
LA-04_15,yaxa pa'aama.,,,,,,
LA-04_16,neemuustih.,,,,,,
LA-04_17,yaxa pathufkirik.,,,,,,
LA-04_18,thufkirik ukxiipship.,,,,,,
LA-04_19,ukxiiptih.,,,,,,
LA-04_20,ta nikxiipship.,,,,,,
LA-04_21,chanaakat iin napar.,,,,,,
LA-04_22,chanaakat iin tee parap.,,,,,,
LA-04_23,akaay pa'aama u'aamtih?,,,,,,
LA-04_24,virusur pa'aama u'aamtih.,,,,,,
LA-04_25,yiivanihich chuvniivkach.,,,,,,
LA-04_26,yiivanihich virusur.,,,,,,
LA-04_27,hooy pa'akvaat?,,,,,,
LA-04_28,akvaat uum ipahak.,,,,,,
LA-04_29,akvaat too kyivunih.,,,,,,
LA-04_30,akvaat fataak ukyivunih.,,,,,,
LA-04_31,pavirusur uum ishriiv.,,,,,,
LA-04_32,tee kfuuyshur hum?,,,,,,
LA-04_33,tee kvurish hum?,,,,,,
ag1-01,apmaanak aknap.,,,,,,
ag1-02,ta nimah.,,,,,,
ag1-03,nimuustih.,,,,,,
ag1-04,nimuustih.,,,,,,
ag1-05,ipit ip nimahat.,,,,,,
ag1-06,ipit nimahat.,,,,,,
ag1-07,ta nipath.,,,,,,
ag1-08,ta nipath.,,,,,,
ag1-09,ook paathraa.,,,,,,
ag1-10,paykuuk path.,,,,,,
ag1-11,ipit ipaathraa.,,,,,,
ag1-12,ipit ipathraa.,,,,,,
ag1-13,nichuuphitih.,,,,,,
ag1-14,nichuuphitih.,,,,,,
ag1-15,uchuuphitih.,,,,,,
ag1-16,tuskak.,,,,,,
ag1-17,nishxaareesh.,,,,,,
ag1-18,ipit nishxaar.,,,,,,
karuk-2010-07-24-ag-sd-1_01,koovura paxvaah pay'ook uum umniishtiheesh.,,,,,,
karuk-2010-07-24-ag-sd-1_02,akee, pananixvaah.,,,,,
karuk-2010-07-24-ag-sd-1_03,ta niyikiheesh.,,,,,,
karuk-2010-07-24-ag-sd-1_04,ta niyikiha.,,,,,,
karuk-2010-07-24-ag-sd-1_05,ipit kunish niyikiheen.,,,,,,
karuk-2010-07-24-ag-sd-1_06,ipit kunish niyikihatih.,,,,,,
karuk-2010-07-24-ag-sd-1_07,pay'ook xakaan nuchuuphitih.,,,,,,
karuk-2010-07-24-ag-sd-1_08,niykareesh papuufich.,,,,,,
karuk-2010-07-24-ag-sd-1_09,ta nikfirip papuufich.,,,,,,
karuk-2010-07-24-ag-sd-1_10,pananikafih kunish imfir.,,,,,,
karuk-2010-07-24-ag-sd-1_11,pamikafih chimi ni'imfireesh.,,,,,,
karuk-2010-07-24-ag-sd-1_12,pananikafih imfir.,,,,,,
karuk-2010-07-24-ag-sd-1_13,ta neemchak.,,,,,,
karuk-2010-07-24-ag-sd-1_14,too xrupeesh.,,,,,,
karuk-2010-07-24-ag-sd-1_15,pa'araaras kunish koovura pa'ishimfir kuma'araaras.,,,,,,
karuk-2010-07-24-ag-sd-2b_01,pay'ook ararahi nichuuphitih.,,,,,,
karuk-2010-07-24-ag-sd-2b_02,koovura pa'araaras pay'ook nuchuupheesh karu.,,,,,,
karuk-2016-02-20-sd-2_01,pay uum pa'araar umniishti pachikin'uruh.,,,,,,
karuk-2016-02-20-sd-2_02,pay'ook pa'asiktavaan ukyaati paxuun.,,,,,,
karuk-2016-02-20-sd-2_03,pay'ook uum pa'araar ukfuyfuuytih.,,,,,,
karuk-2016-02-20-sd-2_04,faat kuma'av poo'aamtih?,,,,,,
karuk-2016-02-20-sd-2_05,putiruh u'aamtih.,,,,,,
karuk-2010-10-25-sd-vs-1_1,ta nithitiv.,,,,,,
karuk-2010-10-25-sd-vs-1_10,ta numah.,,,,,,
karuk-2010-10-25-sd-vs-1_11,nimaheesh.,,,,,,
karuk-2010-10-25-sd-vs-1_12,papusihich iin ta namah.,,,,,,
karuk-2010-10-25-sd-vs-1_13,papusihich umahtih iim.,,,,,,
karuk-2010-10-25-sd-vs-1_14,papusihich iim tumah.,,,,,,
karuk-2010-10-25-sd-vs-1_15,taay um papusihich um ithiinatih um?,,,,,,
karuk-2010-10-25-sd-vs-1_16,taay paninipusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_17,Sally uum taay papusihich uthiinatih.,,,,,,
karuk-2010-10-25-sd-vs-1_18,Sally uum taay pamupusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_19,naa pusihich nithiinatih.,,,,,,
karuk-2010-10-25-sd-vs-1_2,ta nithitiv.,,,,,,
karuk-2010-10-25-sd-vs-1_20,naa axak papusihich nithiinatih.,,,,,,
karuk-2010-10-25-sd-vs-1_21,naa axak pusihich nithiinatih.,,,,,,
karuk-2010-10-25-sd-vs-1_22,naa axak papusihich nithiinatih.,,,,,,
karuk-2010-10-25-sd-vs-1_23,ta nimshakar papusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_24,nithitiimtih papusihich uum.,,,,,,
karuk-2010-10-25-sd-vs-1_25,papusihich nithitiimti upakuriihvutih.,,,,,,
karuk-2010-10-25-sd-vs-1_26,papusihich upakuriihvutih.,,,,,,
karuk-2010-10-25-sd-vs-1_27,ta nithitiv papusihich upakuriihvutih.,,,,,,
karuk-2010-10-25-sd-vs-1_28,ta nithitiv papusihich upakuriihvutih.,,,,,,
karuk-2010-10-25-sd-vs-1_29,nimuustih uum papusihich u'aamtih.,,,,,,
karuk-2010-10-25-sd-vs-1_3,ta nuthitiv.,,,,,,
karuk-2010-10-25-sd-vs-1_30,papusihich u'aamtih.,,,,,,
karuk-2010-10-25-sd-vs-1_31,papusihich u'aamtih.,,,,,,
karuk-2010-10-25-sd-vs-1_32,papusihich ip tu'avat.,,,,,,
karuk-2010-10-25-sd-vs-1_33,pusihich ipit tu'avat.,,,,,,
karuk-2010-10-25-sd-vs-1_34,papusihich ta ni'afish.,,,,,,
karuk-2010-10-25-sd-vs-1_35,papusihich ta na'afish.,,,,,,
karuk-2010-10-25-sd-vs-1_36,papusihich ta kunvathiv.,,,,,,
karuk-2010-10-25-sd-vs-1_37,ta nithitiv payupsitanach uxraratih.,,,,,,
karuk-2010-10-25-sd-vs-1_38,yaxa papusihich!,,,,,,
karuk-2010-10-25-sd-vs-1_39,faat ukupaveenah.,,,,,,
karuk-2010-10-25-sd-vs-1_4,ta nithitiv papusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_40,ta nithitiv papusihich iikam.,,,,,,
karuk-2010-10-25-sd-vs-1_41,ta nithitiv papusihich iikam uvathiivtih.,,,,,,
karuk-2010-10-25-sd-vs-1_42,taay pusihich ta nimah.,,,,,,
karuk-2010-10-25-sd-vs-1_43,pufaat papusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_44,pufaat papusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_45,ararachuupha nuu payeem nuchuuphitih.,,,,,,
karuk-2010-10-25-sd-vs-1_46,yanava koovura kunivyihuk!,,,,,,
karuk-2010-10-25-sd-vs-1_47,yanava pakuusrah tookfuk supaah!,,,,,,
karuk-2010-10-25-sd-vs-1_48,ta kunish nithitiv pachishii poohyiivtih.,,,,,,
karuk-2010-10-25-sd-vs-1_49,yanava pachishiih poohyiivtih!,,,,,,
karuk-2010-10-25-sd-vs-1_5,ta nimah papusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_50,uhyiivtih.,,,,,,
karuk-2010-10-25-sd-vs-1_51,yupthukirar uxraratih.,,,,,,
karuk-2010-10-25-sd-vs-1_52,virusur uum taay pooxruunhatih.,,,,,,
karuk-2010-10-25-sd-vs-1_53,suvanik ta nimah.,,,,,,
karuk-2010-10-25-sd-vs-1_54,suvanik numaheesh.,,,,,,
karuk-2010-10-25-sd-vs-1_55,nu ni'aasish, nikviit-ha, xas vura faatva nithitiv.,,,,
karuk-2010-10-25-sd-vs-1_56,taahkunish pamu'ifunih.,,,,,,
karuk-2010-10-25-sd-vs-1_57,Vina mu'ifuni uum taahkunish.,,,,,,
karuk-2010-10-25-sd-vs-1_58,hooy uum pa'ikxaramkunish pusihich?,,,,,,
karuk-2010-10-25-sd-vs-1_6,ta nimah papusihich.,,,,,,
karuk-2010-10-25-sd-vs-1_7,iim ta numah.,,,,,,
karuk-2010-10-25-sd-vs-1_8,iim ta numah.,,,,,,
karuk-2010-10-25-sd-vs-1_9,ta nimah.,,,,,,
karuk-2010-10-25-sd-vs-2_01,Medford chimi nivaarameesh.,,,,,,
karuk-2010-10-25-sd-vs-2_02,nikvaareesh uum pathyur.,,,,,,
karuk-2010-10-25-sd-vs-2_03,nikvaareesh pathyur.,,,,,,
karuk-2010-10-25-sd-vs-2_04,peethyur nikvaareesh.,,,,,,
karuk-2010-10-25-sd-vs-2_05,ithyur nikvaareesh.,,,,,,
karuk-2010-10-25-sd-vs-2_06,nivaarameesh Medford pathyuru chimi nikvaareesh.,,,,,,
karuk-2010-10-25-sd-vs-2_07,nimuustiheesh pathyuru karu.,,,,,,
karuk-2010-10-25-sd-vs-2_08,Medford nivaarameesh, ithyuru nikvaareesh.,,,,,
karuk-2010-10-25-sd-vs-2_09,nithyurutih pananithyur.,,,,,,
karuk-2010-10-25-sd-vs-2_10,nithyuritih peethyur.,,,,,,
karuk-2010-10-25-sd-vs-2_11,Medford nivaarameesh, vaa kaan pananikustaan ukrii.,,,,,
karuk-2010-10-25-sd-vs-2_12,pachishiih too pvoonfuruk.,,,,,,
karuk-2010-10-25-sd-vs-2_13,too xuriha.,,,,,,
karuk-2010-10-25-sd-vs-2_14,too xuriha.,,,,,,
karuk-2010-10-25-sd-vs-2_15,uum too xuriha,,,,,,
karuk-2010-10-25-sd-vs-2_16,puufich iikam.,,,,,,
karuk-2010-10-25-sd-vs-2_17,yaxa papuufich iikam.,,,,,,
karuk-2010-10-25-sd-vs-2_18,papuufich iinaak tuvoonfuruk.,,,,,,
karuk-2010-10-25-sd-vs-2_19,papuufich iinaak tuvoonfuruk.,,,,,,
karuk-2010-10-25-sd-vs-2_20,choora kumaam!,,,,,,
karuk-2010-10-25-sd-vs-2_21,kumaam nuvyiiship.,,,,,,
karuk-2010-10-25-sd-vs-2_22,ipit kumaam nuvyiishipriv.,,,,,,
karuk-2010-10-25-sd-vs-2_23,kumaam ta ni'arihishrih.,,,,,,
karuk-2010-10-25-sd-vs-2_24,kusaam panunu'uhthaam.,,,,,,
karuk-2010-10-25-sd-vs-2_25,kaam uum Chester pa'ukriivtih.,,,,,,
karuk-2010-10-25-sd-vs-2_26,kaam papuufich ta nimah.,,,,,,
karuk-2010-10-25-sd-vs-2_27,karuk ta nivaaram karuk va'araas ta nimuustiheesh.,,,,,,
karuk-2010-10-25-sd-vs-2_28,karuk va'araar nimuustiheesh.,,,,,,
karuk-2010-10-25-sd-vs-2_29,ta nipvaaram.,,,,,,
karuk-2010-10-25-sd-vs-2_30,nivaarameesh.,,,,,,
karuk-2010-10-25-sd-vs-2_32,yuum ta nimah papuufich.,,,,,,
karuk-2010-10-25-sd-vs-2_33,yuum puufich ta nimah.,,,,,,
karuk-2010-10-25-sd-vs-2_34,ithyaruk papuufich ta nimah.,,,,,,
karuk-2010-10-25-sd-vs-2_35,ithyaruk ta nimah papuufich.,,,,,,
karuk-2010-10-25-sd-vs-2_36,pani'ahootih uum kunish nimahat papuufich pay'ook ukriivtih.,,,,,,
karuk-2010-10-25-sd-vs-2_37,kunish ukviit-hitih pay'ook.,,,,,,
karuk-2010-10-25-sd-vs-2_38,pani'ahootih pay'ook nimahat papuufich ukviit-hitih.,,,,,,
karuk-2010-10-25-sd-vs-2_39,pani'ahootih papuufich uum pamu'asimnaam ta nimah.,,,,,,
karuk-2010-09-13-ag-vs-1_01,,,,,,,
karuk-2010-09-13-ag-vs-1_02,vishtaantih.,,,,,,
karuk-2010-09-13-ag-vs-1_03,pay um ivishtaantih?,,,,,,
karuk-2010-09-13-ag-vs-1_04,iim yaamach.,,,,,,
karuk-2010-09-13-ag-vs-1_05,ook naa!,,,,,,
karuk-2010-09-13-ag-vs-1_05a,vaa mu'akah.,,,,,,
karuk-2010-09-13-ag-vs-1_06,hooy pami'aramah?,,,,,,
karuk-2010-09-13-ag-vs-1_07,hooy pamitaat?,,,,,,
karuk-2010-09-13-ag-vs-2_01,huut uthvuuytih?,,,,,,
karuk-2010-09-13-ag-vs-2_02,huut uthvuuyti pamihrooha?,,,,,,
karuk-2010-09-13-ag-vs-2_03,muthvuy uum Leslie.,,,,,,
karuk-2010-09-13-ag-vs-2_04,nanithvuy uum Andrew.,,,,,,
karuk-2010-09-13-ag-vs-2_05,pamithvuy uum Vina.,,,,,,
karuk-2010-09-13-ag-vs-2_06,panani'akah vura tupihniichha.,,,,,,
karuk-2010-09-13-ag-vs-2_07,panani'akah vura uum tupihniichha.,,,,,,
karuk-2010-09-13-ag-vs-2_08,pananitaat karu tukeevniikichha.,,,,,,
karuk-2011-01-29-vs-1_01,xuun ip ni'av.,,,,,,
karuk-2011-01-29-vs-1_02,xuun ip ni'avat.,,,,,,
karuk-2011-01-29-vs-1_03,faat i'avaheen?,,,,,,
karuk-2011-01-29-vs-1_04,faat i'aveesh?,,,,,,
karuk-2011-01-29-vs-1_05,faat i'aamti payeem?,,,,,,
karuk-2011-01-29-vs-1_06,faat pee'aamtih?,,,,,,
karuk-2011-01-29-vs-1_07,akaay u'avaheen?,,,,,,
karuk-2011-01-29-vs-1_08,harivari i'avaheen paputiruh?,,,,,,
karuk-2011-01-29-vs-1_09,vaa hum i'avaheen?,,,,,,
karuk-2011-01-29-vs-1_10,paputiruh hum i'avaheen?,,,,,,
karuk-2011-01-29-vs-1_11,vaa hum pee'avaheen?,,,,,,
karuk-2011-01-29-vs-1_12,vaa hum pee'avaheen paputiruh?,,,,,,
karuk-2011-01-29-vs-1_13,paputiruh hum i'avaheen?,,,,,,
karuk-2011-01-29-vs-1_14,naa nimuusti vaa.,,,,,,
karuk-2011-01-29-vs-1_15,faat imuustih?,,,,,,
karuk-2011-01-29-vs-1_16,faat imuusti iim?,,,,,,
karuk-2011-01-29-vs-1_17,vaa hum peemuustih?,,,,,,
